goClass	level
GO:0003824	L3
GO:0005198	L3
GO:0005215	L3
GO:0005488	L3
GO:0016209	L3
GO:0031386	L3
GO:0038024	L3
GO:0044183	L3
GO:0045182	L3
GO:0045735	L3
GO:0060089	L3
GO:0090729	L3
GO:0098772	L3
GO:0140104	L3
GO:0140110	L3
GO:0140299	L3
GO:0140313	L3
GO:0001776	L3
GO:0002200	L3
GO:0002252	L3
GO:0002253	L3
GO:0002262	L3
GO:0002339	L3
GO:0002404	L3
GO:0002440	L3
GO:0002507	L3
GO:0002520	L3
GO:0002682	L3
GO:0002683	L3
GO:0002684	L3
GO:0006955	L3
GO:0019882	L3
GO:0031294	L3
GO:0035172	L3
GO:0042386	L3
GO:0045058	L3
GO:0045321	L3
GO:0050900	L3
GO:0090713	L3
GO:0005622	L3
GO:0005623	L3
GO:0019012	L3
GO:0032991	L3
GO:0044217	L3
GO:0044423	L3
GO:0110165	L3
