goClass	level
GO:0000178	L4
GO:0000307	L4
GO:0000408	L4
GO:0000502	L4
GO:0005737	L4
GO:0005845	L4
GO:0005846	L4
GO:0005952	L4
GO:0005953	L4
GO:0005954	L4
GO:0005955	L4
GO:0005956	L4
GO:0005963	L4
GO:0008043	L4
GO:0009318	L4
GO:0009327	L4
GO:0009330	L4
GO:0009337	L4
GO:0009338	L4
GO:0009350	L4
GO:0009356	L4
GO:0009366	L4
GO:0009368	L4
GO:0009375	L4
GO:0009579	L4
GO:0010170	L4
GO:0010598	L4
GO:0016234	L4
GO:0016610	L4
GO:0017101	L4
GO:0017122	L4
GO:0030008	L4
GO:0030014	L4
GO:0030076	L4
GO:0030289	L4
GO:0030880	L4
GO:0030956	L4
GO:0031026	L4
GO:0031074	L4
GO:0031234	L4
GO:0031248	L4
GO:0031371	L4
GO:0031421	L4
GO:0031431	L4
GO:0031501	L4
GO:0031588	L4
GO:0032045	L4
GO:0032144	L4
GO:0032299	L4
GO:0032300	L4
GO:0032517	L4
GO:0032797	L4
GO:0032996	L4
GO:0033202	L4
GO:0033256	L4
GO:0033588	L4
GO:0033593	L4
GO:0033607	L4
GO:0034615	L4
GO:0034657	L4
GO:0034708	L4
GO:0034716	L4
GO:0034717	L4
GO:0034718	L4
GO:0034751	L4
GO:0034977	L4
GO:0035301	L4
GO:0038201	L4
GO:0042575	L4
GO:0043229	L4
GO:0044100	L4
GO:0044609	L4
GO:0044796	L4
GO:0045259	L4
GO:0045273	L4
GO:0045275	L4
GO:0045277	L4
GO:0046821	L4
GO:0048269	L4
GO:0052718	L4
GO:0060171	L4
GO:0070090	L4
GO:0070419	L4
GO:0070477	L4
GO:0070725	L4
GO:0070850	L4
GO:0071141	L4
GO:0071147	L4
GO:0071152	L4
GO:0071153	L4
GO:0071154	L4
GO:0071155	L4
GO:0071159	L4
GO:0072669	L4
GO:0120123	L4
GO:1905348	L4
GO:1990302	L4
GO:1990303	L4
GO:1990304	L4
GO:1990305	L4
GO:1990306	L4
GO:1990328	L4
GO:0044423	L4
GO:0000133	L4
GO:0000346	L4
GO:0000347	L4
GO:0000417	L4
GO:0000444	L4
GO:0000797	L4
GO:0000808	L4
GO:0000817	L4
GO:0000930	L4
GO:0000939	L4
GO:0000940	L4
GO:0000974	L4
GO:0001114	L4
GO:0001534	L4
GO:0001535	L4
GO:0001536	L4
GO:0002096	L4
GO:0002111	L4
GO:0002133	L4
