goClass	level
GO:0008294	L6
GO:0034073	L6
GO:0051007	L6
GO:0008389	L6
GO:0008391	L6
GO:0008395	L6
GO:0008399	L6
GO:0008401	L6
GO:0008682	L6
GO:0010291	L6
GO:0016703	L6
GO:0016709	L6
GO:0016712	L6
GO:0016713	L6
GO:0016714	L6
GO:0016715	L6
GO:0016716	L6
GO:0018529	L6
GO:0018591	L6
GO:0018592	L6
GO:0018593	L6
GO:0018594	L6
GO:0018595	L6
GO:0018597	L6
GO:0018599	L6
GO:0018679	L6
GO:0018690	L6
GO:0019135	L6
GO:0031172	L6
GO:0045289	L6
GO:0046409	L6
GO:0046424	L6
GO:0047096	L6
GO:0047097	L6
GO:0047546	L6
GO:0047563	L6
GO:0047882	L6
GO:0050056	L6
GO:0050212	L6
GO:0050214	L6
GO:0050292	L6
GO:0050603	L6
GO:0052608	L6
GO:0052609	L6
GO:0052610	L6
GO:0052611	L6
GO:0052612	L6
GO:0052613	L6
GO:0052694	L6
GO:0052722	L6
GO:0062179	L6
GO:0062183	L6
GO:0062184	L6
GO:0062185	L6
GO:0070576	L6
GO:0070643	L6
GO:0071614	L6
GO:0072374	L6
GO:0080014	L6
GO:0097259	L6
GO:0106223	L6
GO:0106244	L6
GO:0140382	L6
GO:0004129	L6
GO:0004174	L6
GO:0008121	L6
GO:0008137	L6
GO:0045156	L6
GO:0045157	L6
GO:0045158	L6
GO:0046028	L6
GO:1903264	L6
GO:0008827	L6
GO:0009486	L6
GO:0033764	L6
GO:0033765	L6
GO:0004344	L6
GO:0004457	L6
GO:0008812	L6
GO:0016615	L6
GO:0016616	L6
GO:0016898	L6
GO:0016899	L6
GO:0016900	L6
GO:0016901	L6
GO:0018446	L6
GO:0018447	L6
GO:0018448	L6
GO:0018449	L6
GO:0018450	L6
GO:0018466	L6
GO:0018468	L6
GO:0019154	L6
GO:0031320	L6
GO:0033718	L6
GO:0033719	L6
GO:0033720	L6
GO:0033757	L6
GO:0034522	L6
GO:0034582	L6
GO:0034778	L6
GO:0034817	L6
GO:0034821	L6
GO:0034847	L6
GO:0034863	L6
GO:0034868	L6
GO:0034871	L6
GO:0034891	L6
GO:0034901	L6
GO:0034918	L6
GO:0034944	L6
GO:0042469	L6
GO:0045703	L6
GO:0047060	L6
GO:0047061	L6
GO:0047545	L6
GO:0047564	L6
GO:0047645	L6
GO:0047735	L6
GO:0047809	L6
GO:0047833	L6
GO:0047843	L6
