goClass	level
GO:0008392	L7
GO:0001567	L7
GO:0004501	L7
GO:0004507	L7
GO:0004508	L7
GO:0004509	L7
GO:0008123	L7
GO:0008386	L7
GO:0008387	L7
GO:0008388	L7
GO:0008390	L7
GO:0008396	L7
GO:0008397	L7
GO:0010012	L7
GO:0031073	L7
GO:0035302	L7
GO:0042767	L7
GO:0042768	L7
GO:0050649	L7
GO:0101020	L7
GO:0101021	L7
GO:0062182	L7
GO:0010277	L7
GO:0018580	L7
GO:0033756	L7
GO:0034835	L7
GO:0034836	L7
GO:0034850	L7
GO:0034898	L7
GO:0036434	L7
GO:0047077	L7
GO:0047091	L7
GO:0047678	L7
GO:0047712	L7
GO:0050040	L7
GO:0050067	L7
GO:0050172	L7
GO:0050248	L7
GO:0050361	L7
GO:0050397	L7
GO:0050588	L7
GO:0052606	L7
GO:0052607	L7
GO:0102276	L7
GO:0102634	L7
GO:0102818	L7
GO:0000254	L7
GO:0004498	L7
GO:0004499	L7
GO:0004502	L7
GO:0004506	L7
GO:0004517	L7
GO:0008398	L7
GO:0008688	L7
GO:0009540	L7
GO:0010295	L7
GO:0015049	L7
GO:0016710	L7
GO:0016711	L7
GO:0018471	L7
GO:0018489	L7
GO:0018601	L7
GO:0018630	L7
GO:0018631	L7
GO:0018632	L7
GO:0018633	L7
GO:0018634	L7
GO:0018636	L7
GO:0018637	L7
GO:0018638	L7
GO:0018639	L7
GO:0018640	L7
GO:0018641	L7
GO:0018642	L7
GO:0018643	L7
GO:0018644	L7
GO:0018645	L7
GO:0018646	L7
GO:0018647	L7
GO:0018648	L7
GO:0018649	L7
GO:0018650	L7
GO:0018651	L7
GO:0018652	L7
GO:0018653	L7
GO:0018654	L7
GO:0018655	L7
GO:0018656	L7
GO:0018657	L7
GO:0018658	L7
GO:0018659	L7
GO:0018660	L7
GO:0018661	L7
GO:0018662	L7
GO:0018663	L7
GO:0018664	L7
GO:0018665	L7
GO:0018666	L7
GO:0018667	L7
GO:0018668	L7
GO:0018669	L7
GO:0018670	L7
GO:0018671	L7
GO:0018672	L7
GO:0018673	L7
GO:0018677	L7
GO:0018678	L7
GO:0019113	L7
GO:0033766	L7
GO:0033767	L7
GO:0033769	L7
GO:0033770	L7
GO:0033771	L7
GO:0033772	L7
GO:0033773	L7
GO:0033775	L7
GO:0033776	L7
GO:0033777	L7
GO:0033778	L7
GO:0033779	L7
GO:0033780	L7
GO:0033781	L7
GO:0033782	L7
GO:0033783	L7
GO:0033784	L7
GO:0034526	L7
GO:0034534	L7
GO:0034560	L7
GO:0034785	L7
GO:0034791	L7
GO:0034802	L7
GO:0034819	L7
GO:0034894	L7
GO:0034899	L7
GO:0036189	L7
GO:0036190	L7
GO:0036191	L7
GO:0036192	L7
GO:0036193	L7
GO:0036199	L7
GO:0036200	L7
GO:0036201	L7
GO:0036202	L7
GO:0036203	L7
GO:0036204	L7
GO:0036209	L7
GO:0036239	L7
GO:0043719	L7
GO:0043731	L7
GO:0043818	L7
GO:0047082	L7
GO:0047083	L7
GO:0047084	L7
GO:0047085	L7
GO:0047086	L7
GO:0047087	L7
GO:0047088	L7
GO:0047089	L7
GO:0047090	L7
GO:0047092	L7
GO:0047093	L7
GO:0047094	L7
GO:0047095	L7
GO:0047505	L7
GO:0047544	L7
GO:0047549	L7
GO:0047597	L7
GO:0047638	L7
GO:0047670	L7
GO:0047717	L7
GO:0047749	L7
GO:0047799	L7
GO:0047957	L7
GO:0048000	L7
GO:0048529	L7
GO:0050051	L7
GO:0050052	L7
