KOG	KOGID
C	KOG1531
L	KOG1532
R	KOG1533
K	KOG1534
R	KOG1535
H	KOG1536
E	KOG1537
R	KOG1538
R	KOG1539
H	KOG1540
R	KOG1541
O	KOG1542
O	KOG1543
R	KOG1544
P	KOG1545
D	KOG1546
O	KOG1546
D	KOG1547
T	KOG1547
Z	KOG1547
K	KOG1548
E	KOG1549
M	KOG1550
O	KOG1550
T	KOG1550
S	KOG1551
R	KOG1552
R	KOG1553
O	KOG1554
T	KOG1554
O	KOG1555
O	KOG1556
G	KOG1557
P	KOG1558
H	KOG1559
J	KOG1560
K	KOG1561
E	KOG1562
C	KOG1563
L	KOG1564
O	KOG1565
W	KOG1565
S	KOG1566
F	KOG1567
O	KOG1568
U	KOG1568
J	KOG1569
J	KOG1570
O	KOG1571
V	KOG1572
R	KOG1573
W	KOG1574
C	KOG1575
C	KOG1576
R	KOG1577
P	KOG1578
E	KOG1579
G	KOG1580
G	KOG1581
G	KOG1582
G	KOG1583
R	KOG1584
U	KOG1585
U	KOG1586
Z	KOG1587
A	KOG1588
S	KOG1589
S	KOG1590
E	KOG1591
E	KOG1592
E	KOG1593
G	KOG1594
R	KOG1595
A	KOG1596
K	KOG1597
K	KOG1598
Q	KOG1599
I	KOG1600
K	KOG1601
I	KOG1602
P	KOG1603
G	KOG1604
K	KOG1605
H	KOG1606
U	KOG1607
U	KOG1608
A	KOG1609
Q	KOG1610
R	KOG1610
R	KOG1611
J	KOG1612
J	KOG1613
J	KOG1614
E	KOG1615
G	KOG1616
I	KOG1617
R	KOG1618
C	KOG1619
K	KOG1620
I	KOG1620
T	KOG1620
I	KOG1621
F	KOG1622
R	KOG1623
J	KOG1624
L	KOG1625
C	KOG1626
J	KOG1627
J	KOG1628
V	KOG1629
T	KOG1630
U	KOG1631
R	KOG1632
B	KOG1633
K	KOG1634
O	KOG1635
L	KOG1636
J	KOG1637
I	KOG1638
I	KOG1639
I	KOG1640
O	KOG1641
A	KOG1642
G	KOG1643
A	KOG1644
O	KOG1645
J	KOG1646
C	KOG1647
R	KOG1648
B	KOG1649
K	KOG1649
P	KOG1650
O	KOG1651
U	KOG1652
L	KOG1653
Z	KOG1654
U	KOG1655
U	KOG1656
K	KOG1657
L	KOG1658
K	KOG1659
V	KOG1660
O	KOG1661
C	KOG1662
Q	KOG1663
C	KOG1664
R	KOG1665
U	KOG1666
R	KOG1667
K	KOG1668
J	KOG1669
J	KOG1670
C	KOG1671
O	KOG1672
C	KOG1672
R	KOG1673
R	KOG1674
R	KOG1675
A	KOG1676
R	KOG1677
J	KOG1678
I	KOG1679
I	KOG1680
I	KOG1681
I	KOG1682
I	KOG1683
I	KOG1684
S	KOG1685
J	KOG1686
C	KOG1687
U	KOG1688
A	KOG1689
U	KOG1690
U	KOG1691
U	KOG1692
U	KOG1693
J	KOG1694
O	KOG1695
J	KOG1696
J	KOG1697
J	KOG1698
R	KOG1699
T	KOG1700
Z	KOG1700
T	KOG1701
Z	KOG1702
T	KOG1703
Z	KOG1703
T	KOG1704
Z	KOG1704
R	KOG1704
S	KOG1705
E	KOG1706
V	KOG1707
J	KOG1708
E	KOG1709
R	KOG1710
J	KOG1711
F	KOG1712
C	KOG1713
J	KOG1714
J	KOG1715
V	KOG1716
V	KOG1717
V	KOG1718
V	KOG1719
V	KOG1720
R	KOG1721
J	KOG1722
J	KOG1723
O	KOG1724
U	KOG1725
V	KOG1726
D	KOG1727
Z	KOG1727
J	KOG1728
R	KOG1729
O	KOG1730
D	KOG1731
J	KOG1732
U	KOG1733
O	KOG1734
Z	KOG1735
W	KOG1736
I	KOG1737
F	KOG1738
T	KOG1739
V	KOG1739
J	KOG1740
J	KOG1741
J	KOG1742
P	KOG1743
B	KOG1744
B	KOG1745
D	KOG1746
O	KOG1746
W	KOG1747
C	KOG1748
I	KOG1748
Q	KOG1748
J	KOG1749
J	KOG1750
J	KOG1751
O	KOG1752
J	KOG1753
J	KOG1754
Z	KOG1755
B	KOG1756
B	KOG1757
C	KOG1758
V	KOG1759
O	KOG1760
U	KOG1761
J	KOG1762
R	KOG1763
C	KOG1764
J	KOG1765
R	KOG1766
J	KOG1767
J	KOG1768
O	KOG1769
J	KOG1770
M	KOG1771
O	KOG1771
C	KOG1772
R	KOG1773
A	KOG1774
A	KOG1775
T	KOG1776
R	KOG1777
K	KOG1778
J	KOG1779
A	KOG1780
A	KOG1781
A	KOG1782
A	KOG1783
A	KOG1784
V	KOG1785
T	KOG1786
U	KOG1786
U	KOG1787
S	KOG1788
U	KOG1789
O	KOG1789
J	KOG1790
S	KOG1791
U	KOG1792
S	KOG1793
G	KOG1794
A	KOG1795
U	KOG1796
S	KOG1797
L	KOG1798
F	KOG1799
F	KOG1800
A	KOG1801
A	KOG1802
L	KOG1803
A	KOG1804
L	KOG1805
L	KOG1806
L	KOG1807
R	KOG1808
U	KOG1809
D	KOG1810
R	KOG1811
O	KOG1812
O	KOG1813
O	KOG1814
O	KOG1815
O	KOG1816
A	KOG1817
T	KOG1818
U	KOG1818
R	KOG1819
Z	KOG1820
S	KOG1821
S	KOG1822
V	KOG1823
R	KOG1824
R	KOG1825
V	KOG1826
B	KOG1827
K	KOG1827
K	KOG1828
T	KOG1829
Z	KOG1830
K	KOG1831
D	KOG1832
Y	KOG1833
U	KOG1833
W	KOG1834
S	KOG1835
W	KOG1836
S	KOG1837
R	KOG1838
R	KOG1839
Z	KOG1840
V	KOG1841
R	KOG1842
S	KOG1843
R	KOG1844
D	KOG1845
U	KOG1846
A	KOG1847
S	KOG1848
D	KOG1849
Z	KOG1850
S	KOG1851
D	KOG1852
Z	KOG1853
M	KOG1854
R	KOG1855
A	KOG1856
K	KOG1857
D	KOG1858
O	KOG1858
R	KOG1859
U	KOG1860
D	KOG1860
K	KOG1861
R	KOG1862
O	KOG1863
O	KOG1864
O	KOG1865
O	KOG1866
O	KOG1867
O	KOG1868
A	KOG1869
O	KOG1870
O	KOG1871
O	KOG1872
O	KOG1873
K	KOG1874
K	KOG1875
Z	KOG1876
R	KOG1877
K	KOG1878
G	KOG1879
R	KOG1880
R	KOG1881
T	KOG1882
K	KOG1883
S	KOG1884
J	KOG1885
K	KOG1886
O	KOG1887
I	KOG1888
I	KOG1889
I	KOG1890
R	KOG1891
Z	KOG1892
S	KOG1893
S	KOG1894
A	KOG1895
A	KOG1896
L	KOG1897
A	KOG1898
R	KOG1899
Y	KOG1900
U	KOG1900
R	KOG1901
T	KOG1902
A	KOG1902
D	KOG1903
K	KOG1904
B	KOG1905
K	KOG1905
L	KOG1906
F	KOG1907
A	KOG1908
A	KOG1909
Y	KOG1909
T	KOG1909
S	KOG1910
B	KOG1911
R	KOG1912
K	KOG1913
A	KOG1914
D	KOG1915
R	KOG1916
R	KOG1917
L	KOG1918
A	KOG1919
K	KOG1920
L	KOG1921
T	KOG1922
Z	KOG1922
T	KOG1923
Z	KOG1923
T	KOG1924
Z	KOG1924
T	KOG1925
Z	KOG1925
K	KOG1926
K	KOG1927
G	KOG1928
L	KOG1929
T	KOG1930
Z	KOG1930
R	KOG1931
K	KOG1932
I	KOG1933
R	KOG1934
T	KOG1935
J	KOG1936
S	KOG1937
D	KOG1938
E	KOG1939
R	KOG1940
W	KOG1941
L	KOG1942
O	KOG1943
R	KOG1944
T	KOG1945
K	KOG1946
R	KOG1947
O	KOG1948
S	KOG1949
G	KOG1950
J	KOG1951
K	KOG1952
U	KOG1953
T	KOG1954
U	KOG1954
U	KOG1955
L	KOG1956
L	KOG1957
G	KOG1958
G	KOG1959
A	KOG1960
U	KOG1961
Z	KOG1961
V	KOG1962
R	KOG1963
Y	KOG1964
U	KOG1964
P	KOG1965
P	KOG1966
L	KOG1967
K	KOG1967
L	KOG1968
D	KOG1969
L	KOG1969
D	KOG1970
L	KOG1970
O	KOG1971
S	KOG1972
B	KOG1973
L	KOG1974
A	KOG1975
I	KOG1976
L	KOG1977
L	KOG1978
L	KOG1979
S	KOG1980
T	KOG1981
L	KOG1982
U	KOG1983
U	KOG1984
U	KOG1985
U	KOG1986
D	KOG1987
R	KOG1987
S	KOG1988
T	KOG1989
L	KOG1990
Y	KOG1991
U	KOG1991
Y	KOG1992
U	KOG1992
Y	KOG1993
U	KOG1993
A	KOG1994
R	KOG1995
A	KOG1996
T	KOG1997
T	KOG1998
K	KOG1999
Z	KOG2000
Z	KOG2001
P	KOG2002
R	KOG2003
O	KOG2004
O	KOG2005
R	KOG2006
J	KOG2007
T	KOG2008
K	KOG2009
R	KOG2010
D	KOG2011
O	KOG2012
O	KOG2013
O	KOG2014
O	KOG2015
O	KOG2016
H	KOG2017
O	KOG2018
R	KOG2019
O	KOG2019
Y	KOG2020
U	KOG2020
Y	KOG2021
U	KOG2021
J	KOG2021
Y	KOG2022
U	KOG2022
Y	KOG2023
U	KOG2023
G	KOG2024
B	KOG2025
D	KOG2025
Z	KOG2026
Z	KOG2027
L	KOG2028
S	KOG2029
R	KOG2030
L	KOG2031
S	KOG2032
I	KOG2033
U	KOG2034
D	KOG2035
L	KOG2035
R	KOG2036
R	KOG2037
J	KOG2038
K	KOG2038
K	KOG2039
E	KOG2040
R	KOG2041
O	KOG2042
K	KOG2043
T	KOG2043
D	KOG2043
L	KOG2043
L	KOG2044
A	KOG2044
L	KOG2045
D	KOG2045
Z	KOG2046
A	KOG2047
R	KOG2048
J	KOG2049
J	KOG2050
A	KOG2051
T	KOG2052
Z	KOG2053
S	KOG2054
R	KOG2055
F	KOG2056
F	KOG2057
U	KOG2058
T	KOG2059
U	KOG2060
R	KOG2061
O	KOG2062
U	KOG2063
T	KOG2064
Z	KOG2065
U	KOG2066
O	KOG2067
K	KOG2068
U	KOG2069
F	KOG2070
A	KOG2071
J	KOG2072
D	KOG2073
K	KOG2074
L	KOG2074
S	KOG2075
K	KOG2076
T	KOG2077
A	KOG2078
U	KOG2079
T	KOG2080
U	KOG2081
P	KOG2082
P	KOG2083
B	KOG2084
T	KOG2085
Y	KOG2086
T	KOG2087
I	KOG2088
O	KOG2088
T	KOG2088
O	KOG2089
O	KOG2090
G	KOG2091
S	KOG2092
L	KOG2093
L	KOG2094
L	KOG2095
R	KOG2096
K	KOG2097
A	KOG2098
G	KOG2099
O	KOG2100
Z	KOG2101
U	KOG2101
D	KOG2101
J	KOG2102
S	KOG2103
U	KOG2104
R	KOG2105
S	KOG2106
S	KOG2107
L	KOG2108
R	KOG2109
S	KOG2110
S	KOG2111
I	KOG2112
R	KOG2113
U	KOG2114
U	KOG2115
N	KOG2116
I	KOG2116
S	KOG2117
S	KOG2118
G	KOG2119
O	KOG2120
R	KOG2121
T	KOG2122
Z	KOG2122
S	KOG2123
T	KOG2124
T	KOG2125
T	KOG2126
T	KOG2127
T	KOG2128
S	KOG2129
B	KOG2130
T	KOG2130
B	KOG2131
T	KOG2131
B	KOG2132
T	KOG2132
R	KOG2133
L	KOG2134
R	KOG2135
K	KOG2136
T	KOG2137
A	KOG2138
R	KOG2139
R	KOG2140
T	KOG2141
H	KOG2142
S	KOG2143
J	KOG2144
J	KOG2145
A	KOG2146
R	KOG2146
J	KOG2147
U	KOG2148
S	KOG2149
K	KOG2150
K	KOG2151
D	KOG2151
R	KOG2151
D	KOG2152
J	KOG2153
U	KOG2153
J	KOG2154
O	KOG2155
O	KOG2156
O	KOG2157
O	KOG2158
J	KOG2159
O	KOG2160
G	KOG2161
A	KOG2162
D	KOG2163
O	KOG2164
D	KOG2165
O	KOG2165
D	KOG2166
D	KOG2167
D	KOG2168
K	KOG2169
R	KOG2170
Y	KOG2171
U	KOG2171
S	KOG2172
R	KOG2173
T	KOG2174
G	KOG2175
U	KOG2176
O	KOG2177
G	KOG2178
L	KOG2179
U	KOG2180
K	KOG2181
O	KOG2182
R	KOG2182
O	KOG2183
R	KOG2183
A	KOG2184
A	KOG2185
D	KOG2186
J	KOG2187
J	KOG2188
C	KOG2189
A	KOG2190
R	KOG2190
A	KOG2191
R	KOG2191
A	KOG2192
R	KOG2192
A	KOG2193
R	KOG2193
O	KOG2194
R	KOG2194
O	KOG2195
P	KOG2195
R	KOG2195
Y	KOG2196
T	KOG2197
J	KOG2198
T	KOG2199
T	KOG2200
H	KOG2201
A	KOG2202
R	KOG2203
G	KOG2204
S	KOG2205
J	KOG2206
L	KOG2207
I	KOG2208
T	KOG2209
T	KOG2210
U	KOG2211
G	KOG2212
T	KOG2213
R	KOG2214
U	KOG2215
S	KOG2216
A	KOG2217
U	KOG2218
D	KOG2218
S	KOG2219
R	KOG2220
U	KOG2221
T	KOG2222
R	KOG2222
T	KOG2223
R	KOG2223
T	KOG2224
R	KOG2224
R	KOG2225
R	KOG2226
L	KOG2227
D	KOG2227
L	KOG2228
D	KOG2229
Z	KOG2229
G	KOG2230
O	KOG2231
T	KOG2232
U	KOG2233
G	KOG2234
S	KOG2235
S	KOG2236
O	KOG2237
R	KOG2238
K	KOG2239
K	KOG2240
J	KOG2241
A	KOG2242
T	KOG2243
R	KOG2244
A	KOG2245
G	KOG2246
R	KOG2247
L	KOG2248
L	KOG2249
E	KOG2250
K	KOG2251
K	KOG2252
A	KOG2253
G	KOG2254
J	KOG2255
J	KOG2256
S	KOG2257
C	KOG2258
S	KOG2259
D	KOG2260
K	KOG2261
T	KOG2262
E	KOG2263
T	KOG2264
T	KOG2265
B	KOG2266
L	KOG2267
T	KOG2268
R	KOG2268
T	KOG2269
T	KOG2270
D	KOG2270
Y	KOG2271
U	KOG2271
T	KOG2272
Z	KOG2272
U	KOG2273
U	KOG2274
Y	KOG2274
E	KOG2275
E	KOG2276
D	KOG2277
J	KOG2278
T	KOG2279
U	KOG2280
O	KOG2281
C	KOG2282
T	KOG2283
R	KOG2283
O	KOG2284
O	KOG2285
U	KOG2286
G	KOG2287
G	KOG2288
T	KOG2289
T	KOG2290
O	KOG2291
O	KOG2292
K	KOG2293
T	KOG2293
K	KOG2294
R	KOG2295
R	KOG2296
J	KOG2297
J	KOG2298
L	KOG2299
S	KOG2300
P	KOG2301
T	KOG2301
P	KOG2302
T	KOG2302
H	KOG2303
R	KOG2303
I	KOG2304
I	KOG2305
S	KOG2306
U	KOG2307
I	KOG2308
U	KOG2308
J	KOG2309
L	KOG2310
J	KOG2311
K	KOG2312
T	KOG2313
J	KOG2314
J	KOG2315
R	KOG2316
J	KOG2317
S	KOG2318
U	KOG2319
U	KOG2320
R	KOG2321
T	KOG2322
G	KOG2323
J	KOG2324
R	KOG2325
L	KOG2326
L	KOG2327
B	KOG2328
D	KOG2328
I	KOG2329
A	KOG2330
R	KOG2331
P	KOG2332
R	KOG2333
J	KOG2334
J	KOG2335
H	KOG2336
H	KOG2337
K	KOG2338
S	KOG2339
S	KOG2340
K	KOG2341
S	KOG2342
R	KOG2343
U	KOG2344
K	KOG2345
I	KOG2345
T	KOG2345
S	KOG2346
U	KOG2347
E	KOG2348
P	KOG2349
R	KOG2350
K	KOG2351
E	KOG2352
P	KOG2353
T	KOG2353
K	KOG2354
R	KOG2355
K	KOG2355
K	KOG2356
T	KOG2356
S	KOG2357
O	KOG2358
S	KOG2359
D	KOG2360
R	KOG2361
R	KOG2362
J	KOG2363
J	KOG2364
S	KOG2365
G	KOG2366
E	KOG2367
C	KOG2368
E	KOG2368
I	KOG2369
T	KOG2370
H	KOG2371
L	KOG2372
L	KOG2373
S	KOG2374
A	KOG2375
U	KOG2376
S	KOG2377
T	KOG2378
L	KOG2379
E	KOG2380
T	KOG2381
R	KOG2382
R	KOG2383
R	KOG2384
S	KOG2385
A	KOG2386
F	KOG2387
M	KOG2388
K	KOG2389
S	KOG2390
O	KOG2391
U	KOG2391
V	KOG2392
K	KOG2393
R	KOG2394
U	KOG2395
R	KOG2396
T	KOG2397
D	KOG2398
P	KOG2399
V	KOG2400
L	KOG2401
K	KOG2402
C	KOG2403
C	KOG2404
L	KOG2405
K	KOG2406
M	KOG2407
O	KOG2407
R	KOG2408
J	KOG2409
E	KOG2410
J	KOG2411
A	KOG2412
E	KOG2413
E	KOG2414
C	KOG2415
B	KOG2416
T	KOG2417
Z	KOG2418
I	KOG2419
I	KOG2420
R	KOG2421
S	KOG2422
R	KOG2423
K	KOG2424
R	KOG2425
G	KOG2426
S	KOG2427
S	KOG2428
G	KOG2429
G	KOG2430
G	KOG2431
S	KOG2432
S	KOG2433
K	KOG2434
S	KOG2435
E	KOG2436
T	KOG2437
J	KOG2438
Y	KOG2439
G	KOG2440
A	KOG2441
B	KOG2441
R	KOG2442
S	KOG2443
R	KOG2444
Y	KOG2445
U	KOG2445
G	KOG2446
O	KOG2447
E	KOG2448
E	KOG2449
G	KOG2449
C	KOG2450
C	KOG2451
F	KOG2452
C	KOG2453
C	KOG2454
E	KOG2455
C	KOG2456
L	KOG2457
R	KOG2458
M	KOG2459
O	KOG2459
U	KOG2460
K	KOG2461
K	KOG2462
O	KOG2463
D	KOG2464
S	KOG2465
F	KOG2466
H	KOG2466
E	KOG2467
I	KOG2468
F	KOG2469
F	KOG2470
R	KOG2471
J	KOG2472
K	KOG2473
P	KOG2474
L	KOG2475
S	KOG2476
S	KOG2477
K	KOG2478
J	KOG2479
I	KOG2480
A	KOG2481
K	KOG2482
K	KOG2483
R	KOG2484
R	KOG2485
R	KOG2486
K	KOG2487
L	KOG2487
R	KOG2488
R	KOG2489
S	KOG2490
Y	KOG2491
T	KOG2492
P	KOG2493
K	KOG2494
C	KOG2495
D	KOG2496
K	KOG2496
L	KOG2496
R	KOG2497
T	KOG2498
G	KOG2499
S	KOG2500
R	KOG2501
R	KOG2502
R	KOG2503
G	KOG2504
R	KOG2505
J	KOG2506
R	KOG2507
I	KOG2508
J	KOG2509
B	KOG2510
H	KOG2511
O	KOG2512
D	KOG2513
S	KOG2514
M	KOG2515
U	KOG2515
M	KOG2516
U	KOG2516
G	KOG2517
L	KOG2518
L	KOG2519
L	KOG2520
S	KOG2521
J	KOG2522
J	KOG2523
H	KOG2524
H	KOG2525
E	KOG2526
U	KOG2527
U	KOG2528
J	KOG2529
Z	KOG2530
G	KOG2531
G	KOG2532
G	KOG2533
L	KOG2534
B	KOG2535
K	KOG2535
C	KOG2536
G	KOG2537
L	KOG2538
J	KOG2539
O	KOG2540
I	KOG2541
O	KOG2541
S	KOG2542
L	KOG2543
H	KOG2544
S	KOG2545
T	KOG2546
Z	KOG2546
I	KOG2547
M	KOG2547
A	KOG2548
K	KOG2549
F	KOG2550
E	KOG2551
R	KOG2552
J	KOG2553
J	KOG2554
F	KOG2555
M	KOG2556
V	KOG2556
S	KOG2557
K	KOG2558
J	KOG2559
A	KOG2560
O	KOG2561
T	KOG2561
A	KOG2562
R	KOG2563
R	KOG2564
R	KOG2565
G	KOG2566
S	KOG2567
S	KOG2568
T	KOG2569
B	KOG2570
K	KOG2570
M	KOG2571
A	KOG2572
J	KOG2572
A	KOG2573
J	KOG2573
A	KOG2574
G	KOG2575
E	KOG2575
K	KOG2576
K	KOG2577
K	KOG2578
R	KOG2579
U	KOG2580
O	KOG2581
O	KOG2582
T	KOG2582
C	KOG2583
F	KOG2584
S	KOG2585
H	KOG2586
K	KOG2587
K	KOG2588
B	KOG2589
O	KOG2590
J	KOG2590
T	KOG2591
S	KOG2592
K	KOG2593
S	KOG2594
T	KOG2595
E	KOG2596
R	KOG2597
H	KOG2598
K	KOG2598
H	KOG2599
A	KOG2600
P	KOG2601
R	KOG2602
O	KOG2603
U	KOG2604
T	KOG2605
O	KOG2605
T	KOG2606
O	KOG2606
T	KOG2607
O	KOG2608
U	KOG2608
D	KOG2609
A	KOG2609
S	KOG2610
S	KOG2611
S	KOG2612
J	KOG2613
C	KOG2614
R	KOG2614
R	KOG2615
E	KOG2616
C	KOG2617
S	KOG2618
G	KOG2619
E	KOG2619
C	KOG2620
C	KOG2621
V	KOG2622
J	KOG2623
I	KOG2624
S	KOG2625
B	KOG2626
K	KOG2626
R	KOG2627
O	KOG2628
M	KOG2629
O	KOG2629
U	KOG2629
E	KOG2630
G	KOG2631
S	KOG2632
B	KOG2633
K	KOG2633
A	KOG2634
U	KOG2635
A	KOG2636
S	KOG2637
G	KOG2638
P	KOG2639
S	KOG2640
T	KOG2641
O	KOG2642
K	KOG2642
I	KOG2642
T	KOG2642
P	KOG2643
E	KOG2644
H	KOG2644
R	KOG2645
J	KOG2646
R	KOG2647
J	KOG2648
R	KOG2649
S	KOG2650
A	KOG2651
K	KOG2652
G	KOG2653
S	KOG2654
D	KOG2655
Z	KOG2655
U	KOG2655
B	KOG2656
K	KOG2656
T	KOG2657
O	KOG2657
C	KOG2658
Z	KOG2659
S	KOG2660
O	KOG2661
P	KOG2662
E	KOG2663
K	KOG2664
S	KOG2665
G	KOG2666
T	KOG2666
U	KOG2667
U	KOG2668
Z	KOG2668
A	KOG2669
G	KOG2670
L	KOG2671
H	KOG2672
S	KOG2673
Z	KOG2674
U	KOG2674
Z	KOG2675
T	KOG2675
S	KOG2676
U	KOG2677
S	KOG2678
O	KOG2679
K	KOG2680
S	KOG2681
B	KOG2682
K	KOG2682
B	KOG2683
K	KOG2683
B	KOG2684
K	KOG2684
Z	KOG2685
M	KOG2686
D	KOG2687
D	KOG2688
O	KOG2689
S	KOG2690
K	KOG2691
G	KOG2692
P	KOG2693
P	KOG2694
R	KOG2695
B	KOG2696
E	KOG2697
H	KOG2698
O	KOG2699
F	KOG2700
S	KOG2701
F	KOG2702
H	KOG2702
R	KOG2703
S	KOG2704
S	KOG2705
S	KOG2706
O	KOG2707
O	KOG2708
S	KOG2709
T	KOG2710
Z	KOG2710
C	KOG2711
K	KOG2712
J	KOG2713
R	KOG2714
R	KOG2715
P	KOG2716
R	KOG2717
P	KOG2718
R	KOG2719
R	KOG2720
S	KOG2721
S	KOG2722
R	KOG2723
U	KOG2724
O	KOG2725
J	KOG2726
U	KOG2727
R	KOG2728
O	KOG2729
U	KOG2729
T	KOG2729
R	KOG2730
A	KOG2731
L	KOG2732
S	KOG2733
S	KOG2734
I	KOG2735
T	KOG2736
R	KOG2737
O	KOG2738
D	KOG2739
R	KOG2739
U	KOG2740
G	KOG2741
Q	KOG2741
R	KOG2742
H	KOG2743
K	KOG2744
R	KOG2745
K	KOG2746
B	KOG2747
B	KOG2748
A	KOG2749
R	KOG2750
T	KOG2751
R	KOG2752
R	KOG2753
O	KOG2754
R	KOG2755
T	KOG2756
G	KOG2757
J	KOG2758
C	KOG2759
U	KOG2760
I	KOG2761
G	KOG2762
I	KOG2763
R	KOG2764
V	KOG2764
S	KOG2765
S	KOG2766
J	KOG2767
J	KOG2768
A	KOG2769
E	KOG2770
A	KOG2771
G	KOG2772
K	KOG2773
U	KOG2773
R	KOG2774
R	KOG2775
R	KOG2776
A	KOG2777
O	KOG2778
I	KOG2779
A	KOG2780
A	KOG2781
R	KOG2782
J	KOG2783
J	KOG2784
R	KOG2785
E	KOG2786
V	KOG2787
G	KOG2788
R	KOG2789
H	KOG2790
E	KOG2790
G	KOG2791
C	KOG2792
A	KOG2793
H	KOG2794
L	KOG2795
S	KOG2796
E	KOG2797
G	KOG2798
C	KOG2799
R	KOG2800
U	KOG2801
R	KOG2802
I	KOG2803
I	KOG2804
J	KOG2805
G	KOG2806
K	KOG2807
L	KOG2807
A	KOG2808
A	KOG2809
D	KOG2809
D	KOG2810
L	KOG2810
S	KOG2811
S	KOG2812
O	KOG2813
K	KOG2814
J	KOG2815
R	KOG2816
O	KOG2817
I	KOG2818
S	KOG2819
R	KOG2820
K	KOG2821
I	KOG2822
R	KOG2823
O	KOG2824
P	KOG2825
Z	KOG2826
S	KOG2827
C	KOG2828
K	KOG2829
T	KOG2830
E	KOG2831
K	KOG2832
I	KOG2833
Y	KOG2834
U	KOG2834
F	KOG2835
T	KOG2836
A	KOG2837
R	KOG2838
T	KOG2839
R	KOG2840
L	KOG2841
Z	KOG2842
G	KOG2843
E	KOG2844
K	KOG2845
S	KOG2846
I	KOG2847
I	KOG2848
R	KOG2849
R	KOG2850
L	KOG2851
R	KOG2852
R	KOG2853
G	KOG2854
G	KOG2855
T	KOG2856
U	KOG2856
Z	KOG2856
K	KOG2857
R	KOG2858
L	KOG2859
T	KOG2860
S	KOG2861
R	KOG2862
A	KOG2863
D	KOG2864
C	KOG2865
S	KOG2866
D	KOG2867
T	KOG2867
K	KOG2868
A	KOG2868
J	KOG2869
C	KOG2870
S	KOG2871
H	KOG2872
C	KOG2873
J	KOG2874
D	KOG2874
L	KOG2875
H	KOG2876
I	KOG2877
R	KOG2878
O	KOG2879
T	KOG2880
S	KOG2881
P	KOG2882
S	KOG2883
O	KOG2884
S	KOG2885
S	KOG2886
U	KOG2887
R	KOG2888
S	KOG2889
S	KOG2890
R	KOG2891
H	KOG2892
R	KOG2893
S	KOG2894
S	KOG2895
R	KOG2896
R	KOG2897
I	KOG2898
R	KOG2899
H	KOG2900
S	KOG2901
F	KOG2902
O	KOG2903
R	KOG2904
K	KOG2905
K	KOG2906
K	KOG2907
O	KOG2908
C	KOG2909
R	KOG2910
S	KOG2911
S	KOG2912
S	KOG2913
R	KOG2914
J	KOG2915
J	KOG2916
J	KOG2917
O	KOG2918
R	KOG2919
R	KOG2920
O	KOG2921
S	KOG2922
S	KOG2923
O	KOG2924
J	KOG2925
I	KOG2926
U	KOG2927
L	KOG2928
K	KOG2929
O	KOG2930
S	KOG2931
O	KOG2932
S	KOG2933
R	KOG2934
R	KOG2935
S	KOG2936
A	KOG2937
F	KOG2938
S	KOG2939
R	KOG2940
O	KOG2941
S	KOG2942
G	KOG2943
G	KOG2944
R	KOG2945
S	KOG2946
G	KOG2947
R	KOG2948
H	KOG2949
R	KOG2950
G	KOG2951
D	KOG2952
K	KOG2952
T	KOG2952
A	KOG2953
R	KOG2954
S	KOG2955
R	KOG2956
C	KOG2957
C	KOG2958
K	KOG2959
R	KOG2960
R	KOG2961
R	KOG2962
J	KOG2963
E	KOG2964
E	KOG2965
R	KOG2966
S	KOG2967
R	KOG2968
S	KOG2969
S	KOG2970
J	KOG2971
S	KOG2972
S	KOG2973
S	KOG2974
J	KOG2975
O	KOG2976
R	KOG2977
R	KOG2978
R	KOG2979
T	KOG2980
R	KOG2981
S	KOG2982
S	KOG2983
R	KOG2984
S	KOG2985
S	KOG2986
I	KOG2987
J	KOG2988
S	KOG2989
S	KOG2990
A	KOG2991
Y	KOG2992
U	KOG2993
L	KOG2994
S	KOG2995
T	KOG2996
R	KOG2997
S	KOG2998
T	KOG2999
D	KOG3000
Z	KOG3000
B	KOG3001
K	KOG3001
R	KOG3002
O	KOG3003
D	KOG3004
R	KOG3005
I	KOG3006
E	KOG3007
F	KOG3008
R	KOG3009
R	KOG3010
O	KOG3011
S	KOG3012
A	KOG3013
L	KOG3014
C	KOG3015
I	KOG3016
S	KOG3017
G	KOG3018
F	KOG3019
L	KOG3020
R	KOG3021
D	KOG3022
E	KOG3023
S	KOG3024
C	KOG3025
A	KOG3026
M	KOG3027
U	KOG3027
U	KOG3028
R	KOG3029
I	KOG3030
J	KOG3031
S	KOG3032
R	KOG3033
R	KOG3034
I	KOG3035
R	KOG3036
R	KOG3037
R	KOG3038
S	KOG3039
R	KOG3040
L	KOG3041
H	KOG3042
R	KOG3043
S	KOG3044
A	KOG3045
K	KOG3046
K	KOG3047
O	KOG3048
C	KOG3049
O	KOG3050
T	KOG3050
J	KOG3051
C	KOG3052
S	KOG3053
S	KOG3054
E	KOG3055
D	KOG3056
C	KOG3057
S	KOG3058
I	KOG3059
S	KOG3060
O	KOG3061
R	KOG3062
U	KOG3063
A	KOG3064
U	KOG3065
R	KOG3066
R	KOG3067
A	KOG3068
L	KOG3069
J	KOG3070
I	KOG3071
I	KOG3072
J	KOG3073
K	KOG3074
G	KOG3075
G	KOG3076
S	KOG3077
F	KOG3078
F	KOG3079
A	KOG3080
U	KOG3081
J	KOG3082
