KOG	KOGID
O	KOG0364
O	KOG0365
O	KOG0366
O	KOG0367
I	KOG0368
C	KOG0369
R	KOG0370
T	KOG0371
G	KOG0372
T	KOG0372
D	KOG0373
T	KOG0373
T	KOG0374
R	KOG0374
R	KOG0375
R	KOG0376
T	KOG0377
J	KOG0378
R	KOG0379
I	KOG0380
R	KOG0381
R	KOG0382
R	KOG0383
K	KOG0384
K	KOG0385
B	KOG0386
K	KOG0386
K	KOG0387
L	KOG0387
L	KOG0388
B	KOG0389
L	KOG0390
R	KOG0391
K	KOG0392
R	KOG0393
R	KOG0394
R	KOG0395
S	KOG0396
J	KOG0397
J	KOG0398
E	KOG0399
J	KOG0400
J	KOG0401
J	KOG0402
T	KOG0403
O	KOG0404
Q	KOG0405
O	KOG0406
J	KOG0407
J	KOG0408
R	KOG0409
R	KOG0410
S	KOG0411
U	KOG0412
S	KOG0413
B	KOG0414
D	KOG0414
O	KOG0415
O	KOG0416
O	KOG0417
O	KOG0418
O	KOG0419
O	KOG0420
O	KOG0421
O	KOG0422
O	KOG0423
O	KOG0424
O	KOG0425
O	KOG0426
O	KOG0427
O	KOG0428
O	KOG0429
F	KOG0430
R	KOG0431
J	KOG0432
J	KOG0433
J	KOG0434
J	KOG0435
J	KOG0436
J	KOG0437
J	KOG0438
U	KOG0439
D	KOG0440
P	KOG0441
L	KOG0442
Z	KOG0443
Z	KOG0444
Z	KOG0445
U	KOG0446
R	KOG0446
R	KOG0447
O	KOG0448
G	KOG0449
G	KOG0450
G	KOG0451
A	KOG0452
J	KOG0452
C	KOG0453
E	KOG0453
E	KOG0454
E	KOG0455
E	KOG0456
B	KOG0457
J	KOG0458
J	KOG0459
J	KOG0460
J	KOG0461
J	KOG0462
R	KOG0463
J	KOG0464
J	KOG0465
J	KOG0466
J	KOG0467
J	KOG0468
J	KOG0469
G	KOG0470
G	KOG0471
S	KOG0472
S	KOG0473
P	KOG0474
P	KOG0475
P	KOG0476
L	KOG0477
L	KOG0478
L	KOG0479
L	KOG0480
L	KOG0481
L	KOG0482
K	KOG0483
K	KOG0484
