goClass	level
GO:0004134	L5
GO:0004135	L5
GO:0019156	L5
GO:0003963	L5
GO:0004016	L5
GO:0004383	L5
GO:0009976	L5
GO:0033190	L5
GO:0034012	L5
GO:0034072	L5
GO:0035439	L5
GO:0036356	L5
GO:0045435	L5
GO:0045436	L5
GO:0046423	L5
GO:0047768	L5
GO:0047805	L5
GO:0047820	L5
GO:0047926	L5
GO:0050230	L5
GO:0052604	L5
GO:0052605	L5
GO:0061811	L5
GO:0080015	L5
GO:0080016	L5
GO:0080017	L5
GO:0000170	L5
GO:0001512	L5
GO:0003826	L5
GO:0004154	L5
GO:0004497	L5
GO:0004800	L5
GO:0004836	L5
GO:0008682	L5
GO:0009055	L5
GO:0010242	L5
GO:0015002	L5
GO:0015039	L5
GO:0015048	L5
GO:0016229	L5
GO:0016614	L5
GO:0016627	L5
GO:0016638	L5
GO:0016645	L5
GO:0016651	L5
GO:0016661	L5
GO:0016667	L5
GO:0016675	L5
GO:0016679	L5
GO:0016684	L5
GO:0016695	L5
GO:0016701	L5
GO:0016705	L5
GO:0016721	L5
GO:0016722	L5
GO:0016725	L5
GO:0016730	L5
GO:0016737	L5
GO:0016903	L5
GO:0018698	L5
GO:0018699	L5
GO:0018700	L5
GO:0018701	L5
GO:0018702	L5
GO:0018703	L5
GO:0018705	L5
GO:0018706	L5
GO:0019168	L5
GO:0019174	L5
GO:0030611	L5
GO:0030613	L5
GO:0033796	L5
GO:0033797	L5
GO:0033798	L5
GO:0034539	L5
GO:0034540	L5
GO:0034542	L5
GO:0034546	L5
GO:0034550	L5
GO:0034554	L5
GO:0034555	L5
GO:0034567	L5
GO:0034937	L5
GO:0034949	L5
GO:0035515	L5
GO:0035516	L5
GO:0036354	L5
GO:0042380	L5
GO:0043364	L5
GO:0043738	L5
GO:0043826	L5
GO:0043871	L5
GO:0043880	L5
GO:0043883	L5
GO:0043914	L5
GO:0045301	L5
GO:0045550	L5
GO:0046422	L5
GO:0046992	L5
GO:0047143	L5
GO:0050629	L5
GO:0050697	L5
GO:0050781	L5
GO:0051213	L5
GO:0051744	L5
GO:0052583	L5
GO:0052614	L5
GO:0052693	L5
GO:0052755	L5
GO:0052765	L5
GO:0080132	L5
GO:0000031	L5
GO:0008414	L5
GO:0010280	L5
GO:0016741	L5
GO:0016744	L5
GO:0016746	L5
GO:0016757	L5
GO:0016765	L5
GO:0016769	L5
GO:0016772	L5
GO:0016782	L5
GO:0016785	L5
GO:0019776	L5
GO:0019787	L5
GO:0042123	L5
GO:0043842	L5
GO:0051075	L5
GO:0061599	L5
GO:0061863	L5
GO:0003832	L5
GO:0003923	L5
GO:0008233	L5
GO:0016788	L5
GO:0016798	L5
GO:0016801	L5
GO:0016810	L5
GO:0016817	L5
GO:0016822	L5
GO:0016824	L5
GO:0016825	L5
GO:0016826	L5
GO:0016827	L5
GO:0016828	L5
GO:0019213	L5
GO:0019239	L5
GO:0031964	L5
GO:0046508	L5
GO:0051747	L5
GO:0052770	L5
GO:0052771	L5
GO:0098599	L5
GO:0101005	L5
GO:0004325	L5
GO:0016830	L5
GO:0016835	L5
GO:0016840	L5
GO:0016846	L5
GO:0016848	L5
GO:0016849	L5
GO:0016852	L5
GO:0018835	L5
GO:0018836	L5
GO:0043729	L5
GO:0043779	L5
GO:0047720	L5
GO:0002952	L5
GO:0003916	L5
GO:0008719	L5
GO:0009385	L5
GO:0016854	L5
GO:0016859	L5
GO:0016860	L5
GO:0016866	L5
GO:0016872	L5
GO:0043800	L5
GO:0050335	L5
GO:0051120	L5
GO:0061593	L5
GO:0062213	L5
GO:0070284	L5
GO:0097260	L5
GO:0140226	L5
GO:0003833	L5
GO:0008754	L5
GO:0016875	L5
GO:0016877	L5
GO:0016879	L5
GO:0016885	L5
GO:0016886	L5
GO:0045438	L5
GO:0051002	L5
GO:0103016	L5
GO:0004162	L5
GO:0008398	L5
GO:0018487	L5
GO:0018489	L5
GO:0035514	L5
GO:0098608	L5
GO:0140457	L5
GO:0003796	L5
GO:0008745	L5
GO:0008933	L5
GO:0061784	L5
GO:0061785	L5
GO:0003755	L5
GO:0003756	L5
GO:0004149	L5
GO:0004597	L5
GO:0004598	L5
GO:0004653	L5
GO:0004672	L5
GO:0004720	L5
GO:0004721	L5
GO:0004742	L5
GO:0004835	L5
GO:0008276	L5
GO:0008318	L5
GO:0008474	L5
GO:0008476	L5
GO:0008568	L5
GO:0008770	L5
GO:0008773	L5
GO:0008961	L5
GO:0016262	L5
GO:0016755	L5
GO:0016979	L5
GO:0018031	L5
GO:0018271	L5
GO:0019707	L5
GO:0030158	L5
GO:0031543	L5
GO:0033558	L5
GO:0033823	L5
GO:0033830	L5
GO:0035605	L5
GO:0036139	L5
GO:0036140	L5
GO:0036524	L5
GO:0044603	L5
GO:0046922	L5
GO:0047187	L5
GO:0047211	L5
GO:0047388	L5
GO:0047402	L5
GO:0050169	L5
GO:0050211	L5
GO:0051723	L5
GO:0061607	L5
GO:0062101	L5
GO:0070735	L5
GO:0070739	L5
